Road Name,Exit / Entrance Number,"Entrance (0), Exit (1)","Direction (0=Towards East, 1=Towards West)",Latitude,Longtitude
Tuas Road,41,0,0,1.326231,103.665669
AYE,41,0,0,1.326231,103.665669
Upper Jurong Rd,40,1,0,1.329898,103.670945
Upper Jurong Rd,40,0,0,1.333598,103.675859
Pioneer Rd North,38,1,0,1.346251,103.690429
Pioneer Rd North,38,0,0,1.347627,103.692049
Jln Bahar,36,1,0,1.355108,103.697754
Jln Bahar,36,0,0,1.357012,103.699559
KJE,35,1,0,1.362949,103.706584
KJE,35,0,0,1.360541,103.710706
Jurong West Ave 2,34,1,0,1.357001,103.715073
Jurong West Ave 2,34,0,0,1.355725,103.720566
Bukit Batok Rd,31,1,0,1.348394,103.734984
Bukit Batok Rd,31,0,0,1.345262,103.740112
Jurong Town Hall Rd,31,1,0,1.348394,103.734984
Jurong Town Hall Rd,31,0,0,1.345262,103.740112
Toh Guan Rd,30,1,0,1.344372,103.74421
Toh Guan Rd,30,0,0,1.340103,103.751763
Bukit Batok East Ave 3,28,1,0,1.337239,103.756795
Bukit Batok East Ave 3,28,0,0,1.333592,103.763176
Toh Tuck Ave,28,1,0,1.337239,103.756795
Toh Tuck Ave,28,0,0,1.333592,103.763176
Clementi Ave 6,28,1,0,1.335491,103.759788
Clementi Ave 6,28,0,0,1.332616,103.768959
AYE,28,1,0,1.335491,103.759788
AYE,28,0,0,1.332616,103.768959
Upper Bukit Timah Rd,26B,1,0,1.335877,103.775452
Jln Anak Bukit,26A,0,0,1.343417,103.784078
BKE,24,1,0,1.34863,103.789977
BKE,24,0,0,1.349649,103.793936
Eng Neo Ave,22,1,0,1.349649,103.793936
Eng Neo Ave,22,0,0,1.338462,103.807519
Lornie Rd,20B,1,0,1.333999,103.813422
Adam Rd,20A,0,0,1.331393,103.818733
Whitley Rd,19,1,0,1.32705,103.825919
Whitley Rd,19,0,0,1.326514,103.830661
Stevens Rd,19,1,0,1.32705,103.825919
Stevens Rd,19,0,0,1.326514,103.830661
OnRaet Rd,18,1,0,1.325953,103.832908
Thomson Rd,17D,1,0,1.327415,103.837452
Thomson Rd,17D,0,0,1.32971,103.842774
Lor 1 Toa Payoh,17D,1,0,1.327415,103.837452
Lor 1 Toa Payoh,17D,0,0,1.32971,103.842774
Lor 2 Toa Payoh,17D,1,0,1.327415,103.837452
Lor 2 Toa Payoh,17D,0,0,1.32971,103.842774
Lor 6 Tor Payoh,17D,1,0,1.327415,103.837452
Lor 6 Tor Payoh,17D,0,0,1.32971,103.842774
Kim Keat Link,16A,1,0,1.329431,103.853449
Kim Keat Link,16A,0,0,1.329184,103.856743
CTE,15,1,0,1.330031,103.859511
CTE,15,0,0,1.329141,103.865948
Upper Serangoon,15,1,0,1.330031,103.859511
Upper Serangoon,15,0,0,1.329141,103.865948
KPE,13,1,0,1.325544,103.871414
KPE,13,0,0,1.320245,103.879868
Paya Lebar Rd,11,1,0,1.322487,103.887807
Paya Lebar Rd,11,0,0,1.323924,103.894727
Jln Eunos,9,1,0,1.325436,103.902581
Jln Eunos,9,0,0,1.327495,103.909383
Eunos Link,9,1,0,1.325436,103.902581
Eunos Link,9,0,0,1.327495,103.909383
Bedok North Rd (N),8A,1,0,1.331517,103.917462
Bedok North Rd (S),8B,1,0,1.332354,103.91934
Bedok North Ave 3,6,1,0,1.335658,103.930724
Bedok North Ave 3,6,0,0,1.335218,103.936797
Tampines Ave 5,4B,1,0,1.340409,103.945348
Simei Avenue,4B,1,0,1.340409,103.945348
Tampines Ave 5,4B,0,0,1.344077,103.949747
Tampines Street 31,3B,1,0,1.348869,103.955449
Tampines Street 31,3A,0,0,1.35038,103.958435
TPE,2,1,0,1.350691,103.961257
TPE,2,0,0,1.346733,103.967212
ECP,1,1,0,1.338152,103.977319
ECP,1,0,1,1.337991,103.977244
TPE,2,1,1,1.34522,103.967846
Upper Changi Rd E,2,1,1,1.34522,103.967846
Upper Changi Rd E,2,0,1,1.350347,103.961677
Simei Rd,3A,1,1,1.349832,103.957611
Simei Rd,3B,0,1,1.349832,103.957611
Tampines Ave 5,4B,1,1,1.343406,103.949244
Tampines Ave 5,4B,0,1,1.340285,103.945703
Bedok North Ave 3,6,1,1,1.334965,103.936465
Bedok North Ave 3,6,0,1,1.335394,103.930253
Bedok North Rd,8,0,1,1.3315,103.91785
Jln Eunos,9,1,1,1.326823,103.908366
Jln Eunos,9,0,1,1.325343,103.902937
Eunos Link,9,1,1,1.326823,103.908366
Eunos Link,9,0,1,1.325343,103.902937
Paya Lebar Rd,11,1,1,1.323455,103.89386
Paya Lebar Rd,11,0,1,1.322254,103.887455
KPE,12,1,1,1.322254,103.887455
KPE,12,0,1,1.322141,103.873673
CTE,15A,1,1,1.326944,103.869765
CTE,15,0,1,1.326944,103.869765
Kim Keat Link,15,1,1,1.329511,103.858445
Thomson Rd,17,1,1,1.329597,103.848639
Thomson Rd,17,0,1,1.327398,103.837878
Whitley Rd,17D,0,1,1.325725,103.832117
Whitley Rd,19,1,1,1.32668,103.829188
Adam Rd,20A,1,1,1.331324,103.818019
Adam Rd,20A,0,1,1.33378,103.81303
Eng Neo Ave,22,1,1,1.337631,103.807912
Eng Neo Ave,22,0,1,1.340366,103.805058
BKE,24,1,1,1.348689,103.796765
BKE,24,0,1,1.349302,103.792345
Jln Anak Bukit,26A,1,1,1.34233,103.781563
Bukit Timah Rd,26B,0,1,1.335776,103.775608
Clementi Ave 6,27,1,1,1.33229,103.768548
Clementi Ave 6,27,0,1,1.333877,103.762261
AYE,27,1,1,1.33229,103.768548
AYE,27,0,1,1.333877,103.762261
Toh Tuck Ave,28,0,1,1.337139,103.756502
Toh Guan Rd,30,1,1,1.340174,103.751164
Toh Guan Rd,30,0,1,1.342909,103.746261
Bukit Batok Rd,31,1,1,1.344968,103.740124
Bukit Batok Rd,31,0,1,1.348518,103.734502
Jurong Town Hall Rd,31,1,1,1.344968,103.740124
Jurong Town Hall Rd,31,0,1,1.348518,103.734502
Jurong West Ave 1,32,1,1,1.352411,103.73006
Jurong West Ave 1,32,0,1,1.354213,103.726841
Jurong West Ave 2,34,1,1,1.3555,103.721348
Jurong West Ave 2,34,0,1,1.357002,103.71461
KJE,35,1,1,1.359673,103.711413
KJE,35,0,1,1.361411,103.703871
Jln Bahar,36,1,1,1.356853,103.699622
Jln Bahar,36,0,1,1.352595,103.696092
Pioneer Rd North,38,1,1,1.347457,103.692155
Pioneer Rd North,38,0,1,1.34454,103.688722
Upper Jurong Rd,40,1,1,1.334072,103.676212
Upper Jurong Rd,40,0,1,1.330168,103.672296
Tuas Road,41,1,1,1.326532,103.666234
AYE,41,1,1,1.326532,103.666234
